IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
193.122.122.16,40377,TRUE,NRT,Asia Pacific,Tokyo,73 ms,22138 kB/s
47.128.164.52,9999,TRUE,SIN,Asia Pacific,Singapore,92 ms,21899 kB/s
18.183.137.85,2083,TRUE,NRT,Asia Pacific,Tokyo,72 ms,21489 kB/s
129.154.212.181,44699,TRUE,NRT,Asia Pacific,Tokyo,78 ms,20167 kB/s
152.70.254.227,33688,TRUE,NRT,Asia Pacific,Tokyo,80 ms,19240 kB/s
152.70.232.173,28756,TRUE,ICN,Asia Pacific,Seoul,86 ms,15613 kB/s
103.117.103.150,31913,TRUE,NRT,Asia Pacific,Tokyo,89 ms,13902 kB/s
217.163.76.89,2053,TRUE,SJC,North America,San Jose,177 ms,11888 kB/s
176.119.149.241,3000,TRUE,NRT,Asia Pacific,Tokyo,86 ms,11265 kB/s
132.226.228.151,30843,TRUE,ICN,Asia Pacific,Seoul,87 ms,10862 kB/s
118.163.128.81,17333,TRUE,KHH,Asia Pacific,Kaohsiung City,102 ms,10820 kB/s
8.218.188.129,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,10636 kB/s
154.197.121.127,443,TRUE,SJC,North America,San Jose,170 ms,10571 kB/s
132.145.83.155,33799,TRUE,KIX,Asia Pacific,Osaka,78 ms,10282 kB/s
154.197.121.99,8443,TRUE,SJC,North America,San Jose,175 ms,10254 kB/s
